Year,Catch,Index,Mean Length,Stock
43,6667.3372,NA,43.9002,C
44,5997.445,NA,43.1685,C
45,6068.6455,NA,43.0742,C
46,5623.6679,NA,42.636,C
47,6229.3249,NA,42.0381,C
48,2371.5482,NA,42.6515,C
49,3121.6035,NA,42.0773,C
50,3624.8989,NA,41.3889,C
51,3719.0529,NA,42.7956,C
52,2227.177,NA,43.7815,C
53,1275.1394,NA,43.869,C
54,481.1313,NA,44.9188,C
55,654.7097,NA,45.0434,C
56,936.1781,NA,45.0536,C
57,491.1085,NA,43.0562,C
58,387.1116,NA,45.0665,C
59,474.5156,NA,43.3083,C
60,766.4012,NA,45.8785,C
61,973.2542,NA,46.6681,C
62,1363.8142,0.00477947,46.776,C
63,1596.5153,0.001383,46.4786,C
64,1427.0589,0.00455524,46.1555,C
65,1467.7842,0.00656941,45.8324,C
66,1980.2309,0.0133373,45.7695,C
67,1517.0358,0.00546329,44.5194,C
68,3053.039,0.00496383,43.9136,C
69,3514.8306,0.00455344,44.3421,C
70,3692.1495,0.00217773,43.7932,C
71,3676.721,0.00715097,44.484,C
72,2934.1398,0.00558471,44.0891,C
73,3117.222,0.00353506,44.0982,C
74,3360.02,0.00590424,44.004,C
75,2801.6004,0.00724832,43.9195,C
1,116.08056,NA,NA,D
2,38.3157,NA,NA,D
3,78.410052,NA,NA,D
4,83.880252,NA,NA,D
5,30.347676,NA,NA,D
6,27.217296,NA,NA,D
7,54.19062,NA,NA,D
8,18.359352,NA,NA,D
9,12.1149,NA,NA,D
10,34.82406,NA,NA,D
11,17.048556,NA,NA,D
12,36.44298,NA,NA,D
13,3.5753508,NA,NA,D
14,11.480076,NA,NA,D
15,14.631516,NA,NA,D
16,27.387828,NA,NA,D
17,15.161364,NA,NA,D
18,26.310528,NA,NA,D
19,15.014916,NA,NA,D
20,75.951756,NA,NA,D
21,47.737188,NA,NA,D
22,136.25712,NA,NA,D
23,129.77712,NA,NA,D
24,253.5408,NA,NA,D
25,119.19312,NA,NA,D
26,270.7128,NA,NA,D
27,351.85104,NA,NA,D
28,384.1614,NA,NA,D
29,494.2404,NA,NA,D
30,257.45688,NA,NA,D
31,346.17564,NA,NA,D
32,489.81024,NA,NA,D
33,518.31252,NA,NA,D
34,356.09004,NA,NA,D
35,387.49644,NA,NA,D
36,274.25412,NA,NA,D
37,317.89908,NA,NA,D
38,313.82856,NA,NA,D
39,327.0294,NA,NA,D
40,420.70104,NA,35.03751856,D
41,630.99648,NA,34.88824158,D
42,453.5352,NA,34.56477918,D
43,535.55796,NA,34.41028277,D
44,783.66852,NA,34.19265618,D
45,787.92372,NA,33.76458766,D
46,297.00216,NA,33.34600719,D
47,471.72564,NA,33.43711452,D
48,1385.6292,NA,33.35006861,D
49,463.73688,NA,32.33992362,D
50,216.1782,NA,32.35011678,D
51,409.07052,NA,32.59942913,D
52,458.31744,5.44977,32.60200785,D
53,599.44752,5.36745,32.5493971,D
54,162.03996,5.09542,32.34966711,D
55,296.79156,5.42128,32.61051379,D
56,424.8774,5.55521,32.6934735,D
57,281.7126,5.49731,32.62969155,D
58,340.89012,5.64207,32.72468347,D
59,278.78148,5.69775,32.74897683,D
60,411.68628,5.83566,32.83354132,D
61,415.2492,5.78155,32.77962437,D
62,474.66432,5.71402,32.72482255,D
63,511.32708,5.56402,32.61886516,D
64,427.44564,5.35624,32.47775376,D
65,345.99528,5.27077,32.43676074,D
66,487.54224,5.31717,32.49372006,D
67,652.05972,5.16928,32.39206821,D
68,533.46492,4.80929,32.1290505,D
69,342.78336,4.61322,32.00775075,D
70,339.06816,4.67942,32.09955456,D
71,313.28316,4.76085,32.18078747,D
72,667.25532,4.87505,32.26905559,D
73,689.48712,4.5205,31.9691506,D
74,747.117,4.14384,31.67067661,D
75,657.48888,3.70579,31.33068127,D
