Year,Catch,Index,Mean Length,Stock,Spp
11,1864.07152,NA,NA,C,QB
12,1753.19957,NA,NA,C,QB
13,2350.7243,NA,NA,C,QB
14,1924.01619,NA,NA,C,QB
15,1583.54659,NA,NA,C,QB
16,1495.41429,NA,NA,C,QB
17,4122.59368,NA,NA,C,QB
18,3490.8531,NA,NA,C,QB
19,3257.78446,NA,NA,C,QB
20,4184.0435,NA,NA,C,QB
21,2608.2544,NA,NA,C,QB
22,2053.6397,NA,NA,C,QB
23,3143.2166,NA,45.6821,C,YT
24,3667.4544,NA,47.2657,C,YT
25,2711.1527,NA,44.6778,C,YT
26,1691.9895,NA,45.3652,C,YT
27,4369.471,NA,45.4759,C,YT
28,6136.16118,NA,46.8739,C,YT
29,8672.0974,NA,44.6019,C,YT
30,7666.5596,NA,45.1252,C,YT
31,7509.6765,NA,45.2415,C,YT
32,9643.4619,NA,44.4876,C,YT
33,10308.7298,NA,44.1339,C,YT
34,10780.965,NA,42.6277,C,YT
35,5579.7452,NA,42.8765,C,YT
36,3624.9801,NA,42.8297,C,YT
37,5472.6367,NA,44.8791,C,YT
38,5403.9234,NA,44.6847,C,YT
39,6707.3874,NA,44.6957,C,YT
40,5138.9836,NA,44.2661,C,YT
41,4865.9337,NA,44.0969,C,YT
42,4376.5798,NA,44.1991,C,YT
43,6667.3372,NA,43.9002,C,YT
44,5997.445,NA,43.1685,C,YT
45,6068.6455,NA,43.0742,C,YT
46,5623.6679,NA,42.636,C,YT
47,6229.3249,NA,42.0381,C,YT
48,2371.5482,NA,42.6515,C,YT
49,3121.6035,NA,42.0773,C,YT
50,3624.8989,NA,41.3889,C,YT
51,3719.0529,NA,42.7956,C,YT
52,2227.177,NA,43.7815,C,YT
53,1275.1394,NA,43.869,C,YT
54,481.1313,NA,44.9188,C,YT
55,654.7097,NA,45.0434,C,YT
56,936.1781,NA,45.0536,C,YT
57,491.1085,NA,43.0562,C,YT
58,387.1116,NA,45.0665,C,YT
59,474.5156,NA,43.3083,C,YT
60,766.4012,NA,45.8785,C,YT
61,973.2542,NA,46.6681,C,YT
62,1363.8142,0.00477947,46.776,C,YT
63,1596.5153,0.001383,46.4786,C,YT
64,1427.0589,0.00455524,46.1555,C,YT
65,1467.7842,0.00656941,45.8324,C,YT
66,1980.2309,0.0133373,45.7695,C,YT
67,1517.0358,0.00546329,44.5194,C,YT
68,3053.039,0.00496383,43.9136,C,YT
69,3514.8306,0.00455344,44.3421,C,YT
70,3692.1495,0.00217773,43.7932,C,YT
71,3676.721,0.00715097,44.484,C,YT
72,2934.1398,0.00558471,44.0891,C,YT
73,3117.222,0.00353506,44.0982,C,YT
74,3360.02,0.00590424,44.004,C,YT
75,2801.6004,0.00724832,43.9195,C,YT
